AgentRefID,total_payment,total_successfull_payments,total_failed_payments,total_amount_transaction,max_amount_transaction,min_amount_transaction,avg_amount_transaction,median_amount_transaction,total_amount_transaction_gt100,total_count_transaction_gt100,total_amount_transaction_gt1000,total_count_transaction_gt1000,total_amount_transcation_debit,total_amount_transaction_credit,total_unique_payee,total_unique_distributer,avg_count_payment_permonth,avg_count_payment_gt100_permonth,avg_amount_payment_permonth,avg_amout_payment_gt100_permonth,avg_last_month_amount_txn,avg_txn_first_week,avg_last_month_1week_amount_txn,last_month_amount_gt100,vintage,recency,total_ticket_raised,total_ticket_raised_last_2_month,avg_ticked_rasied_per_month,Churn
468,772,744,28,2003506.0,20000.0,1.0,2692.8844086021504,2250.0,2003212.0,558,1939195.0,487,2003339.0,167.0,290,1,122.0,79.85714285714286,2704.8000473201528,3583.934654074884,198562.0,2757.4534161490683,53203.0,198540.0,203.0,1.0,0.0,0.0,0.0,0.0
469,91,69,22,146731.0,10000.0,1.0,2126.536231884058,1000.0,146600.0,37,141400.0,31,146700.0,31.0,25,1,5.0,9.5,1862.1115555555557,3799.462365591398,0.0,1982.2727272727273,0.0,0.0,96.0,51.0,3.0,0.0,3.0,1.0
490,9055,8566,489,21812316.0,49999.0,1.0,2546.382909175811,2000.0,21809866.0,6413,20898716.0,5401,21810167.0,2149.0,2992,1,1375.0,916.5714285714286,2556.190077445314,3409.8265249599112,1838918.0,2605.4242424242425,274020.0,1838759.0,201.0,3.0,0.0,0.0,0.0,0.0
551,1851,1796,55,4781315.0,40000.0,1.0,2662.202115812918,2000.0,4780895.0,1574,4529438.0,1292,4781098.0,217.0,769,1,250.0,225.14285714285714,2667.949751746,3045.5999641120293,714944.0,2769.7775510204083,252837.0,714925.0,203.0,1.0,5.0,1.0,1.6666666666666667,0.0
593,1226,1107,119,2434514.0,49499.0,1.0,2199.1996386630535,2000.0,2433735.0,724,2318155.0,591,2434135.0,379.0,406,1,149.0,104.0,2185.6257684380203,3329.3625327067525,299591.0,2239.3604240282684,149968.0,299550.0,203.0,1.0,0.0,0.0,0.0,0.0
813,1307,1257,50,4766070.0,49999.0,1.0,3791.6229116945105,4000.0,4765733.0,1216,4648226.0,1084,4766033.0,37.0,721,1,178.0,174.0,3729.511537390007,3871.670783440398,545013.0,3470.5204081632655,200274.0,545012.0,203.0,1.0,0.0,0.0,0.0,0.0
956,2118,2043,75,5190642.0,25000.0,1.0,2540.6960352422907,2000.0,5190100.0,1600,4934458.0,1311,5190204.0,438.0,851,1,258.0,228.71428571428572,2562.0542293183707,3261.9311992815888,827356.0,2720.786240786241,214312.0,827290.0,202.0,2.0,0.0,0.0,0.0,0.0
1054,328,309,19,574028.0,12000.0,1.0,1857.695792880259,1000.0,573890.0,171,551640.0,144,573894.0,134.0,138,1,23.0,24.428571428571427,1956.683458901347,3434.5812074829932,24753.0,1985.6521739130435,0.0,24750.0,203.0,1.0,3.0,2.0,1.5,0.0
1055,588,507,81,1161390.0,35000.0,1.0,2290.7100591715975,1500.0,1161130.0,346,1093530.0,270,1161230.0,160.0,229,1,61.0,49.57142857142857,2201.2861826305857,3204.9139670085483,230772.0,2519.105633802817,111759.0,230750.0,203.0,1.0,0.0,0.0,0.0,0.0
278,362,345,17,761064.0,5000.0,1.0,2205.9826086956523,2000.0,760269.0,252,717511.0,203,760990.0,74.0,119,1,40.0,36.857142857142854,2296.9824860899857,2946.7351261912395,96581.0,2233.276785714286,35000.0,96579.0,203.0,1.0,0.0,0.0,0.0,0.0
