AgentRefID,max_amount_transaction,min_amount_transaction,avg_amount_transaction,median_amount_transaction,total_amount_transaction_credit,total_unique_distributer,avg_amout_payment_gt100_permonth,avg_txn_first_week,avg_last_month_1week_amount_txn,vintage,total_ticket_raised_last_2_month,avg_ticked_rasied_per_month,Churn,Total_Score
4165,5000.0,1.0,1558.16,1000.0,4.0,1,1612.689393939394,1080.2,1001.0,104.0,0.0,1.5,0.0,7
4542,900.0,900.0,900.0,900.0,0.0,1,900.0,0.0,0.0,0.0,0.0,0.0,1.0,11
3106,9934.0,5.0,2837.411666666667,1047.0,0.0,1,5639.823333333334,2509.75,0.0,30.0,0.0,0.0,1.0,12
2873,49000.0,1.0,3347.43503649635,2000.0,170.0,1,4705.689714053793,2909.0388888888892,167849.0,203.0,2.0,2.0,0.0,3
503,15000.0,1.0,1930.0669500531349,1000.0,326.0,1,2878.4952733600653,1853.9285714285716,89512.0,203.0,0.0,1.0,0.0,3
2444,5000.0,1.0,2782.901554404145,2400.0,16.0,1,2771.031276028405,2771.6742424242425,92817.0,194.0,0.0,1.0,0.0,4
3082,25000.0,1.0,2108.902439024391,925.0,38.0,1,3484.984848484848,1840.0,0.0,121.0,3.0,2.5,0.0,8
3794,9450.0,1409.0,5286.333333333333,5000.0,0.0,1,6327.25,0.0,0.0,100.0,0.0,0.0,0.0,12
2516,2800.0,1.0,1505.25,1610.0,1.0,1,2006.666666666667,1333.6666666666667,0.0,126.0,0.0,0.0,1.0,12
2900,17430.0,4.0,3694.9,507.0,0.0,1,5950.6,8734.5,0.0,27.0,0.0,2.0,1.0,11
3544,5000.0,1.0,1153.219512195122,1.0,22.0,1,2442.333333333333,1083.8333333333333,0.0,128.0,0.0,2.0,0.0,10
3714,25000.0,1.0,2324.528925619835,1000.0,28.0,1,2602.128451618499,2594.169811320755,18600.0,163.0,0.0,8.5,0.0,5
2510,18900.0,1.0,3008.63,2000.0,10.0,1,3318.813626373627,2961.583333333333,27791.0,180.0,0.0,0.0,0.0,7
2592,5000.0,450.0,2725.0,2725.0,0.0,1,2725.0,0.0,0.0,0.0,0.0,0.0,1.0,12
3255,5000.0,1.0,1572.7459016393445,1000.0,90.0,1,2457.0808036876997,1581.1282051282049,0.0,138.0,0.0,0.0,0.0,5
67,49999.0,1.0,2790.888535031847,2000.0,1377.0,1,3386.9215451001674,2827.750295159386,954480.0,203.0,0.0,1.0,0.0,3
308,49999.0,1.0,3918.742452440033,3000.0,894.0,1,4370.699833850568,4027.9550561797746,1888167.0,203.0,0.0,0.0,0.0,3
2550,9900.0,1.0,1480.6211180124226,1.0,99.0,1,3616.458874458875,2232.212121212121,9802.0,185.0,0.0,0.0,0.0,7
4083,5000.0,1.0,2134.1428571428573,1592.0,1.0,1,2970.6,0.0,0.0,9.0,0.0,0.0,0.0,12
3889,5000.0,10.0,1753.7514792899408,1000.0,0.0,1,1864.2418801005758,1514.054054054054,8695.0,154.0,14.0,8.8,0.0,5
2685,9900.0,1.0,3300.666666666666,1.0,2.0,1,9900.0,1.0,0.0,158.0,2.0,3.1666666666666665,1.0,11
